entity,n-authors,n-revs
package.json,17,75
package-lock.json,15,63
.gitlab-ci.yml,10,102
src/bootstrap.ts,10,56
src/common/config/config.ts,9,27
src/orchestrated/auth.ts,8,26
webpack/webpack.common.js,8,20
src/orchestrated/sharedData.ts,8,16
src/modules/assignments/services/BffAssignmentService.ts,8,16
src/modules/orders/components/order-details/order-content/OrderDetailsContent.vue,7,55
src/modules/marketplace/components/orders/MarketplaceOrderRow.vue,7,50
src/modules/marketplace/components/orders/MarketplaceOrderList.vue,7,48
src/modules/marketplace/store/actions.ts,7,47
src/modules/orders/components/order-details/OrderDetailsPage.vue,7,43
src/modules/marketplace/components/orders/__tests__/MarketplaceOrderRow.spec.ts,7,40
src/common/services/RestService.ts,7,25
src/modules/assignments/base/dependencies.ts,7,25
.env.dev,7,21
src/common/services/GenericService.ts,7,20
src/modules/assignments/services/__tests__/BffAssignmentService.spec.ts,7,15
src/modules/marketplace/components/LoadLockedPromoBanner.vue,7,14
sndt.json,7,12
src/orchestrated/logger.ts,7,11
catalog-info.yaml,7,11
src/orchestrated/languages.ts,7,9
src/setup-jest.ts,6,44
src/modules/marketplace/types/interfaces.ts,6,40
src/modules/filters/components/filter-add/FilterAdd.vue,6,34
src/router.ts,6,31
src/modules/filters/store/actions.ts,6,27
src/modules/accept-now/app/AcceptNowConfirmDialog.vue,6,26
src/modules/assignments/components/Assignments.vue,6,24
src/modules/bids/app/bidding-block/useBiddingBlock.ts,6,23
src/modules/marketplace/components/MarketplaceTabs.vue,6,23
src/common/scripts/backendClient.ts,6,22
src/modules/accept-now/app/AcceptNowConfirmDialog.spec.ts,6,22
.env.prod,6,21
webpack/webpack.prod.js,6,21
src/common/base/orcas.ts,6,19
src/modules/bids/app/bidding-block/bid-form/BidForm.vue,6,19
src/common/components/NonAccessPlaceholder.vue,6,16
src/modules/filters/components/filter-edit/SavedLaneEditDialog.vue,6,16
src/modules/assignments/services/AssignmentService.ts,6,15
src/modules/bids/app/bid-table-cell/actions/OrderListBidActions.vue,6,15
src/modules/marketplace/components/__tests__/MarketplaceTabs.spec.ts,6,15
src/common/base/mixins/__tests__/refreshDialogMixin.spec.ts,6,14
src/modules/bids/app/bidding-block/BiddingBlock.vue,6,14
src/integrations/sentry.ts,6,13
jest.config.js,6,13
src/modules/tender/components/tender-details/tender-content/tender-bids/__tests__/TenderBidChange.spec.ts,6,11
src/orchestrated/tenants.ts,6,9
src/modules/assignments/classes/__tests__/OrderAssignmentsResponse.spec.ts,6,9
src/modules/orders/mocks/marketplace.mocks.ts,5,58
src/App.vue,5,46
src/modules/orders/types/interfaces.ts,5,44
src/common/types/interfaces.ts,5,44
src/modules/orders/mocks/orders.mock.ts,5,37
src/modules/orders/components/order-details/__tests__/OrderDetailsPage.spec.ts,5,33
src/modules/orders/mocks/transport-offers.mock.ts,5,28
src/modules/orders/components/order-details/order-content/OrderDetailsContent.spec.ts,5,27
src/modules/accept-now/app/useAcceptNowConfirm.spec.ts,5,26
src/common/base/helpers.ts,5,25
src/modules/accept-now/app/useAcceptNowConfirm.ts,5,25
src/modules/marketplace/store/mutations.ts,5,24
src/modules/tender/components/tender-details/TenderDetails.vue,5,23
src/modules/marketplace/components/Marketplace.vue,5,22
src/modules/marketplace/models/TransportOffers.ts,5,22
src/modules/bids/app/bidding-block/useBiddingBlock.spec.ts,5,22
src/modules/orders/base/dependencies.ts,5,21
src/modules/marketplace/components/orders/MarketplaceOrderList.spec.ts,5,20
src/modules/bids/app/bidding-block/cancel-bid-dialog/CancelBidDialog.vue,5,18
src/modules/orders/segmentEvents.ts,5,18
src/modules/tender/base/dependencies.ts,5,18
src/common/components/HereMap.vue,5,17
src/modules/assignments/store/actions.ts,5,17
src/modules/bids/app/bid-table-cell/OrderListBid.vue,5,16
src/modules/marketplace/components/MarketplaceAllLanes.vue,5,16
src/modules/marketplace/helpers.ts,5,16
src/modules/bids/services/BiddingRegularOrderService.ts,5,16
src/modules/bids/services/errors/BiddingServiceErrors.ts,5,14
src/modules/assignments/components/AssignmentRow.vue,5,14
src/modules/tender/services/BiddingTenderService.ts,5,14
src/modules/bids/app/bidding-block/BiddingBlock.spec.ts,5,14
src/modules/marketplace/components/MarketplaceSavedLanes.vue,5,13
src/modules/marketplace/types/enums.ts,5,13
src/modules/filters/services/SavedLaneClient.ts,5,13
src/modules/marketplace/components/orders/MarketplaceZeroResultsRecommendations.vue,5,13
src/modules/tender/components/tender-list/TendersNoResults.vue,5,13
src/modules/tender/components/tender-details/tender-content/tender-bids/TenderBidChange.vue,5,13
src/common/types/enums.ts,5,12
src/modules/bids/services/BiddingRegularOrderService.spec.ts,5,12
src/modules/bids/app/bidding-block/bid-form/useBidForm.ts,5,12
src/modules/tender/components/tender-details/__tests__/TenderDetails.spec.ts,5,12
src/modules/assignments/types/serviceTypes.ts,5,12
src/modules/bids/app/bid-table-cell/status/OrderListBidStatus.vue,5,11
src/modules/tender/components/tender-details/tender-content/tender-bids/__tests__/TenderPlaceBid.spec.ts,5,11
src/common/components/FuelSurcharge.vue,5,10
README.md,5,10
.gitignore,5,10
src/modules/orders/components/order-details/order-content/order-load-details/order-map/__tests__/OrderDetailsMap.spec.ts,5,10
src/modules/bids/app/bidding-block/bid-form/useBidForm.spec.ts,5,10
src/common/components/__tests__/FuelSurcharge.spec.ts,5,10
src/modules/assignments/services/CarrierAssignmentService.ts,5,9
src/modules/assignments/services/MothershipAssignmentService.ts,5,9
src/modules/bids/app/bidding-block/confirm-bid-dialog/ConfirmBidDialog.vue,5,9
