entity,added,deleted,commits
package-lock.json,124376,66527,63
src/styles/coral-fixed.css,20600,157,2
src/languages/fr.json,4410,4410,7
src/languages/it.json,4408,4408,7
src/languages/ru.json,4394,4394,7
src/languages/es.json,4392,4392,7
src/languages/pt.json,4392,4392,7
src/languages/pl.json,4358,4358,7
src/languages/de.json,4336,4336,7
src/languages/en.json,4277,4277,8
src/modules/marketplace/store/actions.spec.ts,1501,1109,26
src/modules/orders/services/marketplace-transformers.spec.ts,1491,2047,29
src/modules/filters/components/filter-add/FilterAdd.spec.ts,1351,292,9
src/modules/orders/components/order-details/order-content/order-bids/OrderBid.vue,1345,706,14
src/modules/orders/services/transformers/marketplace-transformers.spec.ts,1285,17,10
src/modules/orders/components/order-details/__tests__/OrderDetailsPage.spec.ts,1271,1620,33
src/modules/orders/services/transformers/chartering-transformers.spec.ts,1218,44,10
src/modules/bids-deprecated/app/bidding-block/bid-form/BidForm.spec.ts,1187,54,6
src/modules/orders/components/order-details/OrderDetailsPage.vue,1143,1204,43
src/modules/orders/mocks/store.mock.ts,1124,859,14
src/bootstrap.ts,1123,1314,56
src/modules/orders/components/order-details/order-content/order-bids/__tests__/OrderBid.spec.ts,1109,645,6
src/modules/orders/components/order-details/order-content/OrderDetailsContent.vue,1065,955,55
src/modules/orders/services/MarketplaceClient.spec.ts,1064,618,22
.gitlab-ci.yml,1019,673,102
src/modules/filters/components/filter-add/FilterAdd.vue,981,623,34
src/modules/orders/events/OrderEventConsumer.spec.ts,938,284,21
src/modules/bids-deprecated/base/helpers.spec.ts,910,0,2
src/modules/bids/app/OrderBid.vue,836,836,8
src/local-setup.ts,828,440,25
src/modules/marketplace/store/actions.ts,810,567,47
src/modules/bids/app/bidding-block/BiddingBlock.spec.ts,808,1099,14
src/modules/bids-deprecated/app/bidding-block/useBiddingBlock.spec.ts,747,30,5
src/modules/bids/app/bidding-block/bid-form/BidForm.spec.ts,724,1162,14
src/modules/bids-deprecated/store/getters.spec.ts,704,0,2
src/modules/marketplace/components/orders/__tests__/MarketplaceOrderRow.spec.ts,697,433,40
src/modules/bids/app/bidding-block/BiddingBlock.vue,686,866,14
src/modules/orders/components/order-details/order-content/OrderDetailsContent.spec.ts,676,419,27
src/modules/bids-deprecated/events/BidEventConsumer.spec.ts,675,48,6
src/modules/bids/base/helpers.spec.ts,669,1124,9
src/modules/bids/app/bidding-block/bid-input/BidInputWithCondition.vue,658,658,7
src/modules/bids/app/bidding-block/useBiddingBlock.spec.ts,656,976,22
src/modules/bids/store/getters.spec.ts,651,1021,17
src/modules/bids-deprecated/services/BiddingOrderService.spec.ts,650,330,5
src/modules/orders/components/order-details/order-content/order-bids/__tests__/PlaceBid.spec.ts,642,365,10
src/common/http/http-client.spec.ts,632,244,18
src/modules/filters/events/FilterEventConsumer.spec.ts,625,144,11
src/modules/orders/services/MarketplaceOrderService.ts,622,730,42
src/modules/bids/events/BidEventConsumer.spec.ts,621,737,15
src/modules/bids/app/bid-details/OrderBid.vue,607,607,14
src/modules/marketplace/components/orders/MarketplaceOrderList.vue,606,437,48
src/modules/bids-deprecated/app/bidding-block/BiddingBlock.spec.ts,601,20,5
src/modules/bids-deprecated/services/BiddingClient.spec.ts,594,300,14
src/modules/bids-deprecated/app/bidding-block/bid-form/useBidForm.spec.ts,593,2,3
src/modules/bids-deprecated/app/bidding-block/cancel-bid-dialog/CancelBidDialog.vue,593,15,5
src/modules/bids-deprecated/app/bidding-block/bid-form/BidForm.vue,573,22,5
src/modules/marketplace/components/orders/MarketplaceOrderList.spec.ts,572,297,20
src/modules/bids/composition/useAvailableBidActions.spec.ts,564,739,11
src/modules/bids-deprecated/app/bid-table-cell/OrderListBid.spec.ts,559,101,9
src/common/scripts/backendClient.ts,550,346,22
src/modules/orders/events/OrderEventConsumer.ts,550,223,17
src/modules/accept-now/app/AcceptNowConfirmDialog.vue,543,537,26
package.json,535,389,75
src/modules/marketplace/components/orders/MarketplaceOrderRow.vue,533,330,50
src/modules/orders/mocks/marketplace.mocks.ts,529,386,58
src/modules/bids/app/bid-details/OrderBid.spec.ts,526,526,7
src/modules/bids/app/OrderBid.spec.ts,521,521,6
src/modules/filters/components/filter-bar/Status.vue,517,114,7
src/modules/orders/tracking/OrderListEvents.ts,512,715,13
src/modules/bids-deprecated/models/Bid.ts,507,8,8
src/modules/accept-now/app/AcceptNowConfirmDialog.spec.ts,507,448,22
src/modules/orders/mocks/loadBundlesMock.ts,503,503,3
src/assets/svgs/no-saved-lanes.svg,502,0,1
src/modules/orders/events/OrderRepository.spec.ts,500,184,7
src/modules/orders/components/order-details/order-content/order-bids/__tests__/UpdateBid.spec.ts,491,966,4
src/modules/filters/components/common/TypeAheadField.vue,487,103,6
src/modules/filters/events/FilterEvents.ts,484,172,10
src/common/http/axios-client.spec.ts,484,52,10
src/modules/accept-now/app/useAcceptNowConfirm.spec.ts,483,427,26
src/modules/bids/models/Bid.ts,473,719,35
src/modules/orders/components/common/AcceptNowConfirmDialog.vue,465,466,9
src/modules/filters/events/FilterEventConsumer.ts,464,140,11
src/modules/filters/components/filter-bar/Status.spec.ts,460,85,7
src/modules/bids-deprecated/store/getters.ts,456,0,2
src/modules/assignments/components/Assignments.vue,456,1066,24
src/modules/orders/mocks/orders.mock.ts,455,264,37
src/modules/filters/components/filter-bar/Sorting.spec.ts,454,40,7
src/modules/marketplace/helpers.ts,452,570,16
src/modules/orders/events/OrderEvents.ts,448,174,21
src/modules/filters/store/actions.ts,447,279,27
src/modules/bids/app/bidding-block/bid-form/useBidForm.spec.ts,439,685,10
src/modules/bids/widgets/AcceptNowConfirmDialog.vue,436,436,5
src/modules/accept-now/app/AcceptNowContent.spec.ts,433,465,11
src/modules/bids/app/bid-table-cell/OrderListBid.spec.ts,429,591,13
src/routes.ts,428,164,19
src/modules/orders/components/order-details/order-content/order-bids/__tests__/CancelBid.spec.ts,424,222,6
src/modules/accept-now/app/AcceptNowSuccessDialog.spec.ts,422,422,13
src/modules/bids-deprecated/services/errors/BiddingServiceErrors.ts,422,1,4
src/modules/bids/app/cancel-bid-dialog/CancelBidDialog.vue,421,421,7
src/modules/marketplace/tracking/SearchRepository.spec.ts,421,143,5
src/modules/filters/components/filter-bar/ListStatusBar.vue,417,143,5
src/common/types/interfaces.ts,417,312,44
src/modules/orders/components/order-details/order-content/order-load-details/order-route-details/__tests__/verticalStepper.spec.ts,417,228,10
src/modules/orders/services/MarketplaceClient.ts,413,164,23
src/modules/orders/services/transformers/chartering-transformers.ts,412,20,12
src/modules/filters/components/filter-details/SavedLane.spec.ts,410,142,5
src/modules/bids-deprecated/events/BidEvents.ts,404,4,3
src/common/components/HereMap.vue,403,81,17
src/modules/orders/mocks/transport-offers.mock.ts,400,102,28
src/modules/bids-deprecated/models/mocks/Bid.ts,399,13,5
src/modules/bids/events/BidEvents.ts,399,449,12
src/modules/bids-deprecated/composition/useAvailableBidActions.spec.ts,398,1,4
src/common/http/http-client.ts,396,210,17
src/modules/orders/components/order-details/order-content/order-bids/accept-now/AcceptNow.vue,394,212,7
src/modules/filters/components/filter-add/__tests__/FilterAdd.spec.ts,393,1025,9
src/modules/filters/components/filter-edit/SavedLaneEditDialog.vue,391,396,16
src/modules/marketplace/components/orders/useZeroResultsRecommendedOrdersHook.spec.ts,387,481,15
src/modules/bids/store/getters.ts,385,610,23
src/modules/assignments/store/__tests__/actions.spec.ts,381,793,14
src/modules/orders/services/transformers/common-transformers.ts,380,56,10
src/modules/filters/services/SavedLaneClient.spec.ts,377,313,14
src/modules/orders/components/order-details/order-content/order-bids/UpdateBid.vue,375,747,4
src/modules/assignments/services/__tests__/AssignmentService.spec.ts,374,842,8
src/common/base/helpers.ts,373,248,25
src/App.spec.ts,373,79,11
src/modules/orders/types/interfaces.ts,371,348,44
src/modules/bids-deprecated/app/bidding-block/BiddingBlock.vue,371,2,4
src/modules/filters/components/filter-details/FilterComponent.spec.ts,369,41,5
src/modules/orders/services/marketplace-transformers.ts,369,785,32
src/modules/orders/components/order-details/order-content/order-bids/__tests__/ChangeBid.spec.ts,367,207,9
src/modules/bids/app/bid-table-cell/status/OrderListBidStatus.vue,367,543,11
src/modules/bids-deprecated/app/bidding-block/bidding-statuses/BiddingStatuses.spec.ts,365,1,3
src/modules/bids/app/bidding-block/bid-form/BidForm.vue,364,633,19
src/modules/bids/services/BiddingOrderService.spec.ts,360,647,8
src/modules/accept-now-deprecated/services/AcceptNowService.spec.ts,359,125,8
src/modules/orders/services/transformers/marketplace-transformers.ts,356,9,10
src/experiments/time-auction/useTimeAuction.spec.ts,354,111,3
src/modules/assignments/mocks/orderAssignments.ts,353,1017,6
src/modules/accept-now-deprecated/app/AcceptNowConfirmDialog.spec.ts,353,71,3
src/modules/filters/components/common/AddressTypeAhead.vue,352,116,9
src/modules/bids-deprecated/app/bid-table-cell/status/OrderListBidStatus.vue,352,0,2
src/modules/filters/models/mocks/savedLanes.mock.ts,348,124,5
src/modules/filters/models/mocks/Filter.ts,347,35,8
src/modules/filters/components/filter-details/SavedLaneDetails.spec.ts,345,115,4
integration-tests/wdio.conf.ts,344,28,2
src/modules/bids/services/BiddingRegularOrderService.spec.ts,341,341,12
src/modules/filters/filter-add/MarketplaceFilters.vue,339,339,3
src/modules/bids-deprecated/app/bidding-block-actions/BiddingBlockActions.spec.ts,337,4,3
src/modules/bids/app/bidding-block/cancel-bid-dialog/CancelBidDialog.vue,337,622,18
src/modules/filters/components/filter-add/DsfDateRangePicker.spec.ts,336,112,4
src/modules/bids/app/bidding-block/bid-input/change-bid-condition/OrderChangeBidCondition.vue,334,334,7
src/modules/bids-deprecated/events/BidEventConsumer.ts,334,11,4
src/modules/accept-now/app/AcceptNowSuccessDialog.vue,333,333,13
src/modules/marketplace/types/interfaces.ts,332,301,40
src/modules/savedLanes/components/MarketplaceFilters.vue,330,330,2
src/modules/orders/services/MarketplaceOrderService.spec.ts,328,328,15
src/styles/style.scss,324,41,5
sndt.json,322,189,12
src/modules/transport-offers/services/LoadService.spec.ts,322,128,5
src/modules/savedLanes/components/SavedLaneEditDialog.vue,320,320,3
src/routes.spec.ts,319,113,5
src/modules/filters/components/filter-details/SavedLane.vue,317,323,15
src/modules/bids-deprecated/services/BiddingOrderService.ts,315,212,9
src/modules/bids-deprecated/app/bidding-block/useBiddingBlock.ts,315,10,7
src/router.ts,314,482,31
src/modules/marketplace/components/__tests__/MarketplaceTabs.spec.ts,313,298,15
src/modules/filters/models/interfaces.ts,312,108,6
src/modules/bids/app/bid-details/cancel-bid-dialog/CancelBidDialog.vue,311,311,10
src/modules/assignments/components/__tests__/Assignments.spec.ts,310,310,8
src/modules/bids/app/bid-input/BidInputWithCondition.vue,305,305,5
src/modules/bids-deprecated/composition/useBidActions.spec.ts,305,44,3
src/modules/bids/models/mocks/Bid.ts,304,505,24
src/modules/bids/events/BidEventConsumer.ts,301,359,13
src/modules/bids/base/helpers.ts,299,426,13
src/modules/accept-now-deprecated/app/AcceptNowConfirmDialog.vue,289,17,2
src/modules/assignments/components/Assignments.spec.ts,286,836,8
src/modules/tender/components/tender-details/tender-content/tender-load-details/__tests__/TenderContractInfo.spec.ts,285,85,8
src/modules/bids/services/BiddingCharteringService.spec.ts,284,62,4
src/layouts/MainLayout.vue,284,284,4
src/modules/orders/base/helpers.ts,283,249,14
src/integrations/sentry.ts,283,221,13
src/App.vue,282,154,46
src/modules/orders/components/order-details/order-content/order-bids/accept-now/__tests__/AcceptNow.spec.ts,282,146,5
src/modules/orders/components/order-details/order-content/order-bids/CancelBidDialog.vue,281,281,9
src/modules/bids-deprecated/app/bid-table-cell/actions/OrderListBidActions.spec.ts,281,68,5
src/modules/marketplace/components/orders/__tests__/MarketplaceOrderList.spec.ts,280,273,9
src/modules/filters/components/filter-details/__tests__/SavedLane.spec.ts,279,496,12
src/modules/filters/components/common/ResetInputButton.vue,277,97,5
src/modules/filters/components/filter-add/DsfDateRangePicker.vue,273,91,4
src/common/components/TransportRequestStatusTableCell.vue,271,271,9
src/modules/orders/segmentEvents.ts,271,263,18
src/assets/svgs/404_500_ODV.svg,270,0,1
