entity,author,author-revs,total-revs
.editorconfig,Juan Bigorra,2,2
.env.dev,Sanja Mitrovic,9,21
.env.dev,Yashwanth Harikrishnan,6,21
.env.dev,Samuel Vasco,2,21
.env.dev,Juan Bigorra,1,21
.env.dev,Miša Vučićević,1,21
.env.dev,Dmytro Filipenko,1,21
.env.dev,Pol Ortiz,1,21
.env.e2e,Yashwanth Harikrishnan,8,11
.env.e2e,Sanja Mitrovic,3,11
.env.prod,Sanja Mitrovic,8,21
.env.prod,Yashwanth Harikrishnan,7,21
.env.prod,Miša Vučićević,2,21
.env.prod,Samuel Vasco,2,21
.env.prod,Dmytro Filipenko,1,21
.env.prod,Pol Ortiz,1,21
.env.stg,Yashwanth Harikrishnan,1,1
.env.uat,Sanja Mitrovic,3,8
.env.uat,Yashwanth Harikrishnan,2,8
.env.uat,Miša Vučićević,1,8
.env.uat,Dmytro Filipenko,1,8
.env.uat,Pol Ortiz,1,8
.eslintignore,Yashwanth Harikrishnan,1,1
.eslintrc.js,Sergei Zaliubovskii,1,2
.eslintrc.js,Manu Ustenko,1,2
.eslintrc.json,Yashwanth Harikrishnan,1,1
.gitignore,Yashwanth Harikrishnan,4,10
.gitignore,Sanja Mitrovic,2,10
.gitignore,Juan Bigorra,2,10
.gitignore,Sergei Zaliubovskii,1,10
.gitignore,Manu Ustenko,1,10
.gitlab-ci.yml,Yashwanth Harikrishnan,59,102
.gitlab-ci.yml,Murali Mariappan,15,102
.gitlab-ci.yml,Juan,10,102
.gitlab-ci.yml,Sanja Mitrovic,6,102
.gitlab-ci.yml,Sergei Zaliubovskii,3,102
.gitlab-ci.yml,Juan Bigorra,2,102
.gitlab-ci.yml,Sergej Herbert,2,102
.gitlab-ci.yml,sennder,2,102
.gitlab-ci.yml,Atharva Pathak,2,102
.gitlab-ci.yml,Alena Volchanskaya,1,102
.husky/pre-commit,Sergei Zaliubovskii,2,5
.husky/pre-commit,Yashwanth Harikrishnan,2,5
.husky/pre-commit,Manu Ustenko,1,5
.npmrc,Yashwanth Harikrishnan,1,1
.nvmrc,InfraOps Bot - Renovate,1,3
.nvmrc,Juan Bigorra,1,3
.nvmrc,Manu Ustenko,1,3
.prettierignore,Yashwanth Harikrishnan,2,3
.prettierignore,Sergei Zaliubovskii,1,3
.prettierrc,Sergei Zaliubovskii,1,2
.prettierrc,Manu Ustenko,1,2
.prettierrc.json,Yashwanth Harikrishnan,1,1
Dockerfile,Yashwanth Harikrishnan,8,8
Dockerfile.e2e,Yashwanth Harikrishnan,3,4
Dockerfile.e2e,InfraOps Bot - Renovate,1,4
Makefile,Alena Volchanskaya,1,1
README.md,Yashwanth Harikrishnan,4,10
README.md,Pol Ortiz,2,10
README.md,Sanja Mitrovic,2,10
README.md,Juan Bigorra,1,10
README.md,sennder,1,10
ReadMe.md,Juan Bigorra,1,3
ReadMe.md,Yashwanth Harikrishnan,1,3
ReadMe.md,Manu Ustenko,1,3
babel.config.js,Sanja Mitrovic,1,1
catalog-info.yaml,Murali Mariappan,5,11
catalog-info.yaml,Sergej Herbert,1,11
catalog-info.yaml,sennder,1,11
catalog-info.yaml,Sennder Machine User,1,11
catalog-info.yaml,Sergei Zaliubovskii,1,11
catalog-info.yaml,Matcha,1,11
catalog-info.yaml,Developer Portal Bot,1,11
integration-tests/readme.md,Pablo Felipe Leonhart,3,5
integration-tests/readme.md,Yashwanth Harikrishnan,1,5
integration-tests/readme.md,Manu Ustenko,1,5
integration-tests/wdio.conf.ts,Sergei Zaliubovskii,1,2
integration-tests/wdio.conf.ts,Manu Ustenko,1,2
jest.base.config.js,Yashwanth Harikrishnan,1,3
jest.base.config.js,Sanja Mitrovic,1,3
jest.base.config.js,Juan Bigorra,1,3
jest.base.config.ts,Sanja Mitrovic,2,4
jest.base.config.ts,Murali Mariappan,1,4
jest.base.config.ts,Yashwanth Harikrishnan,1,4
jest.config.js,Sanja Mitrovic,5,13
jest.config.js,Sergei Zaliubovskii,3,13
jest.config.js,Yashwanth Harikrishnan,2,13
jest.config.js,sennder,1,13
jest.config.js,Dmytro Fokin,1,13
jest.config.js,Juan Bigorra,1,13
jest.config.ts,Yashwanth Harikrishnan,1,1
lefthook.yml,Yashwanth Harikrishnan,1,3
lefthook.yml,Sergei Zaliubovskii,1,3
lefthook.yml,Manu Ustenko,1,3
microfrontends/ReadMe.md,Manu Ustenko,1,2
microfrontends/ReadMe.md,Yashwanth Harikrishnan,1,2
microfrontends/example.ts,Manu Ustenko,1,2
microfrontends/example.ts,Yashwanth Harikrishnan,1,2
microfrontends/index.ts,Manu Ustenko,1,2
microfrontends/index.ts,Yashwanth Harikrishnan,1,2
microfrontends/loader.ts,Manu Ustenko,1,2
microfrontends/loader.ts,Yashwanth Harikrishnan,1,2
mkdocs.yaml,Pablo Felipe Leonhart,3,4
mkdocs.yaml,Yashwanth Harikrishnan,1,4
nginx.conf,Yashwanth Harikrishnan,1,1
package-lock.json,Yashwanth Harikrishnan,22,63
package-lock.json,Sanja Mitrovic,14,63
package-lock.json,InfraOps Bot - Renovate,4,63
package-lock.json,Dmytro Fokin,4,63
package-lock.json,Samuel Vasco,3,63
package-lock.json,Juan Bigorra,3,63
package-lock.json,Manu Ustenko,2,63
package-lock.json,Sergei Zaliubovskii,2,63
package-lock.json,Pablo Felipe Leonhart,2,63
package-lock.json,Murali Mariappan,2,63
package-lock.json,Damilola Adeyemi,1,63
package-lock.json,Joel Pinto Ribeiro,1,63
package-lock.json,Jack Mayer,1,63
package-lock.json,Mikhail Kachala,1,63
package-lock.json,Sergej Herbert,1,63
package.json,Yashwanth Harikrishnan,26,75
package.json,Sanja Mitrovic,15,75
package.json,Juan Bigorra,6,75
package.json,InfraOps Bot - Renovate,4,75
package.json,Dmytro Fokin,4,75
package.json,Samuel Vasco,3,75
package.json,Sergei Zaliubovskii,3,75
package.json,Joel Pinto Ribeiro,2,75
package.json,Manu Ustenko,2,75
package.json,Pablo Felipe Leonhart,2,75
package.json,Murali Mariappan,2,75
package.json,Damilola Adeyemi,1,75
package.json,Alena Volchanskaya,1,75
package.json,Jack Mayer,1,75
package.json,Mikhail Kachala,1,75
package.json,Sergej Herbert,1,75
package.json,sennder,1,75
public/favicon.ico,Manu Ustenko,1,1
public/index.html,Pablo Felipe Leonhart,3,7
public/index.html,Yashwanth Harikrishnan,2,7
public/index.html,Dmytro Fokin,1,7
public/index.html,Manu Ustenko,1,7
renovate.json,Sanja Mitrovic,1,2
renovate.json,Pol Ortiz,1,2
rspack/rspack.config.js,Yashwanth Harikrishnan,2,2
sndt.json,Pablo Felipe Leonhart,4,12
sndt.json,sennder,2,12
sndt.json,Yashwanth Harikrishnan,2,12
sndt.json,Sergej Herbert,1,12
sndt.json,Manu Ustenko,1,12
sndt.json,Sanja Mitrovic,1,12
sndt.json,Juan Bigorra,1,12
sonar-project.properties,Juan Bigorra,2,5
sonar-project.properties,Juan,2,5
sonar-project.properties,Yashwanth Harikrishnan,1,5
src/App.spec.ts,Sanja Mitrovic,6,11
src/App.spec.ts,Alexey Ivanov,3,11
src/App.spec.ts,Murali Mariappan,1,11
src/App.spec.ts,Yashwanth Harikrishnan,1,11
src/App.vue,Sanja Mitrovic,28,46
src/App.vue,Yashwanth Harikrishnan,13,46
src/App.vue,Alexey Ivanov,3,46
src/App.vue,Artem Kovshov,1,46
src/App.vue,Murali Mariappan,1,46
src/__tests__/example.spec.ts,Yashwanth Harikrishnan,3,5
src/__tests__/example.spec.ts,Sanja Mitrovic,2,5
src/application/ApplicationFactory.ts,Juan Bigorra,2,2
src/application/displayTruckLoads.spec.ts,Juan Bigorra,3,3
src/application/displayTruckloads.ts,Juan Bigorra,3,3
src/application/ports.ts,Juan Bigorra,3,3
src/architecture-vision/README.md,Juan Bigorra,1,1
src/architecture-vision/UseCases/PlaceBidUse.ts,Juan Bigorra,2,2
src/assets/palette_with_boxes.svg,Sanja Mitrovic,1,1
src/assets/pngs/no-route-map-placeholder.png,Sanja Mitrovic,1,1
src/assets/roundtrip.svg,Yashwanth Harikrishnan,2,4
src/assets/roundtrip.svg,Sanja Mitrovic,2,4
src/assets/svgs/404_500_ODV.svg,Sanja Mitrovic,1,1
src/assets/svgs/check_mark.svg,Sanja Mitrovic,1,1
src/assets/svgs/destination_arrow.svg,Sanja Mitrovic,1,1
src/assets/svgs/destination_arrow_long.svg,Sanja Mitrovic,1,1
src/assets/svgs/no-saved-lanes.svg,Sanja Mitrovic,1,1
src/assets/svgs/roundtrip.svg,Sanja Mitrovic,2,2
src/assets/weight-hanging-solid.svg,Yashwanth Harikrishnan,2,4
src/assets/weight-hanging-solid.svg,Sanja Mitrovic,2,4
src/auth.ts,Samuel Vasco,3,5
src/auth.ts,Manu Ustenko,1,5
src/auth.ts,Yashwanth Harikrishnan,1,5
src/bootstrap-local-config.ts,Pablo Felipe Leonhart,2,2
src/bootstrap.ts,Sanja Mitrovic,16,56
src/bootstrap.ts,Yashwanth Harikrishnan,15,56
src/bootstrap.ts,Dmytro Fokin,8,56
src/bootstrap.ts,Pablo Felipe Leonhart,7,56
src/bootstrap.ts,Samuel Vasco,3,56
src/bootstrap.ts,Sergei Zaliubovskii,3,56
src/bootstrap.ts,Artem Kovshov,1,56
src/bootstrap.ts,Manu Ustenko,1,56
src/bootstrap.ts,Sergej Herbert,1,56
src/bootstrap.ts,sennder,1,56
src/common/analytics/SegmentObserver.ts,Sanja Mitrovic,3,4
src/common/analytics/SegmentObserver.ts,Pablo Felipe Leonhart,1,4
src/common/application/ports.ts,Yashwanth Harikrishnan,1,1
src/common/base/casing.ts,Yashwanth Harikrishnan,2,3
src/common/base/casing.ts,Sergei Zaliubovskii,1,3
src/common/base/compositions/notifications/usePushNotification.spec.ts,Yashwanth Harikrishnan,2,3
src/common/base/compositions/notifications/usePushNotification.spec.ts,Sergei Zaliubovskii,1,3
src/common/base/compositions/notifications/usePushNotification.ts,Yashwanth Harikrishnan,2,3
src/common/base/compositions/notifications/usePushNotification.ts,Sergei Zaliubovskii,1,3
src/common/base/constants.ts,Yashwanth Harikrishnan,3,4
src/common/base/constants.ts,Sanja Mitrovic,1,4
src/common/base/helpers.spec.ts,Sanja Mitrovic,2,4
src/common/base/helpers.spec.ts,Yashwanth Harikrishnan,2,4
src/common/base/helpers.ts,Yashwanth Harikrishnan,13,25
src/common/base/helpers.ts,Sanja Mitrovic,8,25
src/common/base/helpers.ts,Sergei Zaliubovskii,2,25
src/common/base/helpers.ts,Murali Mariappan,1,25
src/common/base/helpers.ts,Manu Ustenko,1,25
src/common/base/mixins/__tests__/RefreshDialogTestComponent.vue,Alexey Ivanov,2,5
src/common/base/mixins/__tests__/RefreshDialogTestComponent.vue,Sanja Mitrovic,2,5
src/common/base/mixins/__tests__/RefreshDialogTestComponent.vue,Sergei Zaliubovskii,1,5
src/common/base/mixins/__tests__/refreshDialogMixin.spec.ts,Yashwanth Harikrishnan,6,14
src/common/base/mixins/__tests__/refreshDialogMixin.spec.ts,Sanja Mitrovic,3,14
src/common/base/mixins/__tests__/refreshDialogMixin.spec.ts,Alexey Ivanov,2,14
src/common/base/mixins/__tests__/refreshDialogMixin.spec.ts,Murali Mariappan,1,14
src/common/base/mixins/__tests__/refreshDialogMixin.spec.ts,Sergei Zaliubovskii,1,14
src/common/base/mixins/__tests__/refreshDialogMixin.spec.ts,Manu Ustenko,1,14
src/common/base/mixins/dataPolling.ts,Yashwanth Harikrishnan,2,3
src/common/base/mixins/dataPolling.ts,Sergei Zaliubovskii,1,3
src/common/base/mixins/refreshDialogMixin.ts,Yashwanth Harikrishnan,1,3
src/common/base/mixins/refreshDialogMixin.ts,Sergei Zaliubovskii,1,3
src/common/base/mixins/refreshDialogMixin.ts,Sanja Mitrovic,1,3
src/common/base/mocks.ts,Sanja Mitrovic,14,28
src/common/base/mocks.ts,Yashwanth Harikrishnan,12,28
src/common/base/mocks.ts,Murali Mariappan,1,28
src/common/base/mocks.ts,Sergei Zaliubovskii,1,28
src/common/base/notifications.ts,Pablo Felipe Leonhart,1,2
src/common/base/notifications.ts,Sanja Mitrovic,1,2
src/common/base/orcas.ts,Sanja Mitrovic,9,19
src/common/base/orcas.ts,Dmytro Fokin,3,19
src/common/base/orcas.ts,Yashwanth Harikrishnan,3,19
src/common/base/orcas.ts,Samuel Vasco,2,19
