entity,author,added,deleted
.editorconfig,Juan Bigorra,72,0
.env.dev,Sanja Mitrovic,35,24
.env.dev,Juan Bigorra,1,1
.env.dev,Miša Vučićević,1,2
.env.dev,Dmytro Filipenko,1,0
.env.dev,Yashwanth Harikrishnan,6,9
.env.dev,Pol Ortiz,1,1
.env.dev,Samuel Vasco,8,0
.env.e2e,Sanja Mitrovic,0,10
.env.e2e,Yashwanth Harikrishnan,31,13
.env.prod,Sanja Mitrovic,20,11
.env.prod,Miša Vučićević,3,2
.env.prod,Dmytro Filipenko,1,0
.env.prod,Yashwanth Harikrishnan,5,11
.env.prod,Pol Ortiz,1,1
.env.prod,Samuel Vasco,10,0
.env.stg,Yashwanth Harikrishnan,20,0
.env.uat,Sanja Mitrovic,0,6
.env.uat,Miša Vučićević,1,2
.env.uat,Dmytro Filipenko,1,0
.env.uat,Yashwanth Harikrishnan,20,2
.env.uat,Pol Ortiz,1,1
.eslintignore,Yashwanth Harikrishnan,11,0
.eslintrc.js,Sergei Zaliubovskii,6,5
.eslintrc.js,Manu Ustenko,24,0
.eslintrc.json,Yashwanth Harikrishnan,28,0
.gitignore,Sanja Mitrovic,3,0
.gitignore,Sergei Zaliubovskii,14,1
.gitignore,Yashwanth Harikrishnan,32,3
.gitignore,Manu Ustenko,1,13
.gitignore,Juan Bigorra,7,0
.gitlab-ci.yml,Juan,54,20
.gitlab-ci.yml,Alena Volchanskaya,61,286
.gitlab-ci.yml,Juan Bigorra,24,3
.gitlab-ci.yml,Sanja Mitrovic,131,58
.gitlab-ci.yml,Sergej Herbert,2,7
.gitlab-ci.yml,Sergei Zaliubovskii,55,43
.gitlab-ci.yml,Yashwanth Harikrishnan,449,189
.gitlab-ci.yml,sennder,117,26
.gitlab-ci.yml,Murali Mariappan,122,38
.gitlab-ci.yml,Atharva Pathak,4,3
.husky/pre-commit,Manu Ustenko,0,6
.husky/pre-commit,Sergei Zaliubovskii,2,0
.husky/pre-commit,Yashwanth Harikrishnan,6,1
.npmrc,Yashwanth Harikrishnan,2,0
.nvmrc,InfraOps Bot - Renovate,1,1
.nvmrc,Juan Bigorra,1,1
.nvmrc,Manu Ustenko,1,0
.prettierignore,Yashwanth Harikrishnan,12,0
.prettierignore,Sergei Zaliubovskii,8,1
.prettierrc,Sergei Zaliubovskii,3,3
.prettierrc,Manu Ustenko,9,0
.prettierrc.json,Yashwanth Harikrishnan,5,0
Dockerfile,Yashwanth Harikrishnan,22,7
Dockerfile.e2e,InfraOps Bot - Renovate,1,1
Dockerfile.e2e,Yashwanth Harikrishnan,17,1
Makefile,Alena Volchanskaya,7,0
README.md,Pol Ortiz,2,2
README.md,Yashwanth Harikrishnan,58,2
README.md,Sanja Mitrovic,21,3
README.md,Juan Bigorra,29,6
README.md,sennder,60,0
ReadMe.md,Juan Bigorra,0,66
ReadMe.md,Yashwanth Harikrishnan,33,0
ReadMe.md,Manu Ustenko,0,0
babel.config.js,Sanja Mitrovic,3,0
catalog-info.yaml,Sergej Herbert,0,1
catalog-info.yaml,sennder,39,1
catalog-info.yaml,Murali Mariappan,46,16
catalog-info.yaml,Sennder Machine User,1,1
catalog-info.yaml,Sergei Zaliubovskii,1,1
catalog-info.yaml,Matcha,3,3
catalog-info.yaml,Developer Portal Bot,40,0
integration-tests/readme.md,Pablo Felipe Leonhart,3,18
integration-tests/readme.md,Yashwanth Harikrishnan,6,1
integration-tests/readme.md,Manu Ustenko,47,0
integration-tests/wdio.conf.ts,Sergei Zaliubovskii,24,28
integration-tests/wdio.conf.ts,Manu Ustenko,320,0
jest.base.config.js,Yashwanth Harikrishnan,0,30
jest.base.config.js,Sanja Mitrovic,1,1
jest.base.config.js,Juan Bigorra,30,0
jest.base.config.ts,Sanja Mitrovic,2,0
jest.base.config.ts,Murali Mariappan,0,1
jest.base.config.ts,Yashwanth Harikrishnan,41,0
jest.config.js,sennder,35,0
jest.config.js,Yashwanth Harikrishnan,25,44
jest.config.js,Sanja Mitrovic,11,4
jest.config.js,Dmytro Fokin,8,6
jest.config.js,Sergei Zaliubovskii,6,0
jest.config.js,Juan Bigorra,8,0
jest.config.ts,Yashwanth Harikrishnan,18,0
lefthook.yml,Yashwanth Harikrishnan,3,0
lefthook.yml,Sergei Zaliubovskii,4,4
lefthook.yml,Manu Ustenko,19,0
microfrontends/ReadMe.md,Manu Ustenko,0,3
microfrontends/ReadMe.md,Yashwanth Harikrishnan,3,0
microfrontends/example.ts,Manu Ustenko,0,26
microfrontends/example.ts,Yashwanth Harikrishnan,26,0
microfrontends/index.ts,Manu Ustenko,0,1
microfrontends/index.ts,Yashwanth Harikrishnan,1,0
microfrontends/loader.ts,Manu Ustenko,0,36
microfrontends/loader.ts,Yashwanth Harikrishnan,36,0
mkdocs.yaml,Pablo Felipe Leonhart,96,0
mkdocs.yaml,Yashwanth Harikrishnan,0,32
nginx.conf,Yashwanth Harikrishnan,21,0
package-lock.json,Samuel Vasco,641,1140
package-lock.json,InfraOps Bot - Renovate,588,708
package-lock.json,Damilola Adeyemi,7,8
package-lock.json,Joel Pinto Ribeiro,43,8
package-lock.json,Jack Mayer,7,7
package-lock.json,Manu Ustenko,47502,38610
package-lock.json,Juan Bigorra,8797,6239
package-lock.json,Dmytro Fokin,487,212
package-lock.json,Sanja Mitrovic,20147,12217
package-lock.json,Mikhail Kachala,41,41
package-lock.json,Sergej Herbert,0,1068
package-lock.json,Sergei Zaliubovskii,1534,60
package-lock.json,Yashwanth Harikrishnan,43474,5542
package-lock.json,Pablo Felipe Leonhart,18,123
package-lock.json,Murali Mariappan,1090,544
package.json,Samuel Vasco,5,3
package.json,InfraOps Bot - Renovate,80,80
package.json,Damilola Adeyemi,1,1
package.json,Joel Pinto Ribeiro,2,1
package.json,Alena Volchanskaya,2,2
package.json,Jack Mayer,1,1
package.json,Manu Ustenko,137,96
package.json,Juan Bigorra,15,9
package.json,Dmytro Fokin,5,3
package.json,Sanja Mitrovic,32,28
package.json,Mikhail Kachala,3,3
package.json,Sergej Herbert,0,2
package.json,Sergei Zaliubovskii,11,0
package.json,Yashwanth Harikrishnan,103,23
package.json,Pablo Felipe Leonhart,2,3
package.json,sennder,133,128
package.json,Murali Mariappan,3,6
public/favicon.ico,Manu Ustenko,0,0
public/index.html,Dmytro Fokin,1,1
public/index.html,Pablo Felipe Leonhart,3,3
public/index.html,Yashwanth Harikrishnan,25,1
public/index.html,Manu Ustenko,16,19
renovate.json,Sanja Mitrovic,2,7
renovate.json,Pol Ortiz,12,0
rspack/rspack.config.js,Yashwanth Harikrishnan,190,0
sndt.json,Sergej Herbert,2,16
sndt.json,sennder,21,16
sndt.json,Pablo Felipe Leonhart,234,64
sndt.json,Yashwanth Harikrishnan,35,76
sndt.json,Manu Ustenko,26,14
sndt.json,Sanja Mitrovic,2,1
sndt.json,Juan Bigorra,2,2
sonar-project.properties,Yashwanth Harikrishnan,3,1
sonar-project.properties,Juan Bigorra,8,1
sonar-project.properties,Juan,24,5
src/App.spec.ts,Murali Mariappan,1,1
src/App.spec.ts,Alexey Ivanov,3,3
src/App.spec.ts,Yashwanth Harikrishnan,9,0
src/App.spec.ts,Sanja Mitrovic,360,75
src/App.vue,Artem Kovshov,1,1
src/App.vue,Alexey Ivanov,4,4
src/App.vue,Sanja Mitrovic,173,82
src/App.vue,Yashwanth Harikrishnan,99,67
src/App.vue,Murali Mariappan,5,0
src/__tests__/example.spec.ts,Yashwanth Harikrishnan,10,10
src/__tests__/example.spec.ts,Sanja Mitrovic,0,18
src/application/ApplicationFactory.ts,Juan Bigorra,19,19
src/application/displayTruckLoads.spec.ts,Juan Bigorra,139,139
src/application/displayTruckloads.ts,Juan Bigorra,52,52
src/application/ports.ts,Juan Bigorra,25,25
src/architecture-vision/README.md,Juan Bigorra,8,0
src/architecture-vision/UseCases/PlaceBidUse.ts,Juan Bigorra,71,4
src/assets/palette_with_boxes.svg,Sanja Mitrovic,149,0
src/assets/pngs/no-route-map-placeholder.png,Sanja Mitrovic,0,0
src/assets/roundtrip.svg,Yashwanth Harikrishnan,4,4
src/assets/roundtrip.svg,Sanja Mitrovic,0,8
src/assets/svgs/404_500_ODV.svg,Sanja Mitrovic,270,0
src/assets/svgs/check_mark.svg,Sanja Mitrovic,4,0
src/assets/svgs/destination_arrow.svg,Sanja Mitrovic,3,0
src/assets/svgs/destination_arrow_long.svg,Sanja Mitrovic,3,0
src/assets/svgs/no-saved-lanes.svg,Sanja Mitrovic,502,0
src/assets/svgs/roundtrip.svg,Sanja Mitrovic,4,4
src/assets/weight-hanging-solid.svg,Yashwanth Harikrishnan,1,1
src/assets/weight-hanging-solid.svg,Sanja Mitrovic,0,2
src/auth.ts,Manu Ustenko,0,38
src/auth.ts,Samuel Vasco,46,2
src/auth.ts,Yashwanth Harikrishnan,16,0
src/bootstrap-local-config.ts,Pablo Felipe Leonhart,88,88
src/bootstrap.ts,Artem Kovshov,1,3
src/bootstrap.ts,Samuel Vasco,50,9
src/bootstrap.ts,Manu Ustenko,22,22
src/bootstrap.ts,Dmytro Fokin,168,128
src/bootstrap.ts,Sanja Mitrovic,119,48
src/bootstrap.ts,Sergej Herbert,9,12
src/bootstrap.ts,Sergei Zaliubovskii,56,32
src/bootstrap.ts,Yashwanth Harikrishnan,458,75
src/bootstrap.ts,Pablo Felipe Leonhart,189,921
src/bootstrap.ts,sennder,51,64
src/common/analytics/SegmentObserver.ts,Sanja Mitrovic,26,26
src/common/analytics/SegmentObserver.ts,Pablo Felipe Leonhart,1,1
src/common/application/ports.ts,Yashwanth Harikrishnan,12,0
src/common/base/casing.ts,Yashwanth Harikrishnan,32,31
src/common/base/casing.ts,Sergei Zaliubovskii,1,2
src/common/base/compositions/notifications/usePushNotification.spec.ts,Sergei Zaliubovskii,0,99
src/common/base/compositions/notifications/usePushNotification.spec.ts,Yashwanth Harikrishnan,118,19
src/common/base/compositions/notifications/usePushNotification.ts,Sergei Zaliubovskii,0,39
src/common/base/compositions/notifications/usePushNotification.ts,Yashwanth Harikrishnan,46,7
src/common/base/constants.ts,Yashwanth Harikrishnan,34,17
src/common/base/constants.ts,Sanja Mitrovic,1,0
src/common/base/helpers.spec.ts,Sanja Mitrovic,49,33
src/common/base/helpers.spec.ts,Yashwanth Harikrishnan,134,6
src/common/base/helpers.ts,Murali Mariappan,7,0
src/common/base/helpers.ts,Yashwanth Harikrishnan,227,119
src/common/base/helpers.ts,Sanja Mitrovic,128,97
src/common/base/helpers.ts,Sergei Zaliubovskii,8,31
src/common/base/helpers.ts,Manu Ustenko,3,1
src/common/base/mixins/__tests__/RefreshDialogTestComponent.vue,Alexey Ivanov,2,2
src/common/base/mixins/__tests__/RefreshDialogTestComponent.vue,Sergei Zaliubovskii,3,3
src/common/base/mixins/__tests__/RefreshDialogTestComponent.vue,Sanja Mitrovic,26,7
src/common/base/mixins/__tests__/refreshDialogMixin.spec.ts,Sanja Mitrovic,129,25
src/common/base/mixins/__tests__/refreshDialogMixin.spec.ts,Murali Mariappan,1,4
src/common/base/mixins/__tests__/refreshDialogMixin.spec.ts,Alexey Ivanov,2,2
src/common/base/mixins/__tests__/refreshDialogMixin.spec.ts,Yashwanth Harikrishnan,30,7
src/common/base/mixins/__tests__/refreshDialogMixin.spec.ts,Sergei Zaliubovskii,12,12
src/common/base/mixins/__tests__/refreshDialogMixin.spec.ts,Manu Ustenko,1,1
src/common/base/mixins/dataPolling.ts,Sergei Zaliubovskii,5,14
src/common/base/mixins/dataPolling.ts,Yashwanth Harikrishnan,103,29
src/common/base/mixins/refreshDialogMixin.ts,Yashwanth Harikrishnan,1,1
src/common/base/mixins/refreshDialogMixin.ts,Sergei Zaliubovskii,2,2
src/common/base/mixins/refreshDialogMixin.ts,Sanja Mitrovic,39,0
src/common/base/mocks.ts,Yashwanth Harikrishnan,14,46
src/common/base/mocks.ts,Murali Mariappan,1,0
src/common/base/mocks.ts,Sanja Mitrovic,154,79
src/common/base/mocks.ts,Sergei Zaliubovskii,5,5
src/common/base/notifications.ts,Pablo Felipe Leonhart,0,18
src/common/base/notifications.ts,Sanja Mitrovic,18,0
src/common/base/orcas.ts,Pablo Felipe Leonhart,0,0
src/common/base/orcas.ts,Dmytro Fokin,9,88
src/common/base/orcas.ts,Sanja Mitrovic,85,8
src/common/base/orcas.ts,Samuel Vasco,2,1
src/common/base/orcas.ts,Sergei Zaliubovskii,6,6
src/common/base/orcas.ts,Yashwanth Harikrishnan,8,7
src/common/classes/DayDifference.ts,Sanja Mitrovic,0,44
src/common/classes/DayDifference.ts,Sergei Zaliubovskii,1,3
src/common/classes/DayDifference.ts,Yashwanth Harikrishnan,46,0
src/common/classes/MarketplaceTab.ts,Sanja Mitrovic,47,28
src/common/classes/MarketplaceTab.ts,Murali Mariappan,9,8
src/common/classes/MarketplaceTab.ts,Sergei Zaliubovskii,6,6
src/common/classes/__tests__/DayDifference.spec.ts,Sanja Mitrovic,0,62
src/common/classes/__tests__/DayDifference.spec.ts,Sergei Zaliubovskii,6,8
src/common/classes/__tests__/DayDifference.spec.ts,Yashwanth Harikrishnan,45,0
src/common/components/BackButton.spec.ts,Sanja Mitrovic,120,120
src/common/components/BackButton.vue,Sanja Mitrovic,68,72
src/common/components/BackButton.vue,Pablo Felipe Leonhart,3,3
src/common/components/BackButton.vue,Yashwanth Harikrishnan,5,3
src/common/components/BackButton.vue,Dmytro Fokin,5,3
src/common/components/DayDifference.vue,Sanja Mitrovic,0,34
src/common/components/DayDifference.vue,Sergei Zaliubovskii,2,5
src/common/components/DayDifference.vue,Yashwanth Harikrishnan,40,3
src/common/components/FuelSurcharge.vue,Sanja Mitrovic,0,62
src/common/components/FuelSurcharge.vue,Pablo Felipe Leonhart,4,4
src/common/components/FuelSurcharge.vue,Yashwanth Harikrishnan,69,4
src/common/components/FuelSurcharge.vue,Dmytro Fokin,4,3
src/common/components/FuelSurcharge.vue,Sergei Zaliubovskii,1,5
src/common/components/HereMap.vue,Yashwanth Harikrishnan,325,37
src/common/components/HereMap.vue,Sanja Mitrovic,55,22
src/common/components/HereMap.vue,Sergei Zaliubovskii,18,17
src/common/components/HereMap.vue,Pablo Felipe Leonhart,3,3
src/common/components/HereMap.vue,Manu Ustenko,2,2
src/common/components/MapPlaceholder.vue,Sanja Mitrovic,51,2
src/common/components/NonAccessPlaceholder.spec.ts,Sanja Mitrovic,211,8
src/common/components/NonAccessPlaceholder.spec.ts,Murali Mariappan,1,1
src/common/components/NonAccessPlaceholder.vue,Sanja Mitrovic,137,41
src/common/components/NonAccessPlaceholder.vue,Pablo Felipe Leonhart,3,3
src/common/components/NonAccessPlaceholder.vue,Yashwanth Harikrishnan,52,54
src/common/components/NonAccessPlaceholder.vue,Dmytro Fokin,5,2
src/common/components/NonAccessPlaceholder.vue,Samuel Vasco,20,5
src/common/components/NonAccessPlaceholder.vue,Sergei Zaliubovskii,1,1
src/common/components/OrderDistance.vue,Yashwanth Harikrishnan,110,17
src/common/components/OrderDistance.vue,Sergei Zaliubovskii,2,6
src/common/components/OrderDistance.vue,Sanja Mitrovic,4,3
src/common/components/RefreshDialog.vue,Yashwanth Harikrishnan,4,4
src/common/components/RefreshDialog.vue,Sanja Mitrovic,47,0
src/common/components/RouteBackToButton.spec.ts,Murali Mariappan,1,4
src/common/components/RouteBackToButton.spec.ts,Sanja Mitrovic,243,1
src/common/components/RouteBackToButton.vue,Sanja Mitrovic,103,6
src/common/components/TableCell.vue,Yashwanth Harikrishnan,64,66
src/common/components/TableCell.vue,Sanja Mitrovic,4,2
src/common/components/TableNoResults.vue,Sergei Zaliubovskii,1,4
src/common/components/TableNoResults.vue,Sanja Mitrovic,3,2
src/common/components/TableNoResults.vue,Yashwanth Harikrishnan,78,0
src/common/components/TableRow.vue,Yashwanth Harikrishnan,192,193
src/common/components/TableRow.vue,Sanja Mitrovic,3,2
src/common/components/TermsAndConditions.spec.ts,Murali Mariappan,30,1
src/common/components/TermsAndConditions.spec.ts,Yashwanth Harikrishnan,5,2
src/common/components/TermsAndConditions.vue,Yashwanth Harikrishnan,1,3
src/common/components/TermsAndConditions.vue,Murali Mariappan,36,0
src/common/components/TransportRequestStatusTableCell.vue,Sanja Mitrovic,248,249
src/common/components/TransportRequestStatusTableCell.vue,Sergei Zaliubovskii,19,19
src/common/components/TransportRequestStatusTableCell.vue,Yashwanth Harikrishnan,4,3
src/common/components/VehicleTypes.vue,Murali Mariappan,11,2
src/common/components/VehicleTypes.vue,Yashwanth Harikrishnan,68,49
src/common/components/VehicleTypes.vue,Sergei Zaliubovskii,2,5
src/common/components/VehicleTypes.vue,Sanja Mitrovic,93,4
src/common/components/__tests__/FuelSurcharge.spec.ts,Sanja Mitrovic,0,99
src/common/components/__tests__/FuelSurcharge.spec.ts,Pablo Felipe Leonhart,5,5
src/common/components/__tests__/FuelSurcharge.spec.ts,Yashwanth Harikrishnan,100,6
src/common/components/__tests__/FuelSurcharge.spec.ts,Dmytro Fokin,21,7
src/common/components/__tests__/FuelSurcharge.spec.ts,Sergei Zaliubovskii,13,22
src/common/components/__tests__/MapPlaceholder.spec.ts,Murali Mariappan,1,1
src/common/components/__tests__/MapPlaceholder.spec.ts,Sergei Zaliubovskii,1,1
src/common/components/__tests__/MapPlaceholder.spec.ts,Sanja Mitrovic,25,2
src/common/components/__tests__/TableNoResults.spec.ts,Murali Mariappan,1,1
src/common/components/__tests__/TableNoResults.spec.ts,Sergei Zaliubovskii,1,1
src/common/components/__tests__/TableNoResults.spec.ts,Yashwanth Harikrishnan,49,0
src/common/components/__tests__/TransportRequestStatusTableCell.spec.ts,Sanja Mitrovic,123,117
src/common/components/__tests__/TransportRequestStatusTableCell.spec.ts,Sergei Zaliubovskii,14,14
src/common/components/__tests__/TransportRequestStatusTableCell.spec.ts,Yashwanth Harikrishnan,2,8
src/common/components/__tests__/VehicleTypes.spec.ts,Murali Mariappan,33,13
src/common/components/__tests__/VehicleTypes.spec.ts,Yashwanth Harikrishnan,20,12
src/common/components/__tests__/VehicleTypes.spec.ts,Sergei Zaliubovskii,2,1
src/common/components/__tests__/VehicleTypes.spec.ts,Sanja Mitrovic,93,1
src/common/components/index.ts,Sanja Mitrovic,1,0
src/common/components/load-stops-list/EllipseIcon.vue,Sanja Mitrovic,40,2
src/common/components/load-stops-list/LineDashedIcon copy.vue,Sanja Mitrovic,0,25
src/common/components/load-stops-list/LineDashedIcon copy.vue,Yashwanth Harikrishnan,25,0
src/common/components/load-stops-list/LineDashedIcon.vue,Sanja Mitrovic,29,2
src/common/components/load-stops-list/LoadStopsList.vue,Sanja Mitrovic,3,46
src/common/components/load-stops-list/LoadStopsList.vue,Yashwanth Harikrishnan,43,0
src/common/components/load-stops-list/RouteDistance.vue,Sergei Zaliubovskii,2,4
src/common/components/load-stops-list/RouteDistance.vue,Sanja Mitrovic,3,2
src/common/components/load-stops-list/RouteDistance.vue,Yashwanth Harikrishnan,32,0
src/common/components/load-stops-list/RouteNotes.vue,Sanja Mitrovic,7,4
src/common/components/load-stops-list/RouteNotes.vue,Yashwanth Harikrishnan,102,0
src/common/components/load-stops-list/RouteStep copy.vue,Sanja Mitrovic,0,71
src/common/components/load-stops-list/RouteStep copy.vue,Yashwanth Harikrishnan,71,0
src/common/components/load-stops-list/RouteStep.vue,Sanja Mitrovic,80,2
src/common/components/load-stops-list/ShowLess.vue,Sanja Mitrovic,6,4
src/common/components/load-stops-list/ShowLess.vue,Sergei Zaliubovskii,2,2
src/common/components/load-stops-list/ShowLess.vue,Yashwanth Harikrishnan,41,0
src/common/components/load-stops-list/Stop.vue,Sanja Mitrovic,3,26
src/common/components/load-stops-list/Stop.vue,Yashwanth Harikrishnan,23,0
src/common/components/load-stops-list/StopAccordion.vue,Sanja Mitrovic,10,4
src/common/components/load-stops-list/StopAccordion.vue,Sergei Zaliubovskii,4,10
src/common/components/load-stops-list/StopAccordion.vue,Yashwanth Harikrishnan,41,0
src/common/components/load-stops-list/TimezoneAcronym.spec.ts,Murali Mariappan,1,1
src/common/components/load-stops-list/TimezoneAcronym.spec.ts,Sanja Mitrovic,50,0
src/common/components/load-stops-list/TimezoneAcronym.vue,Sanja Mitrovic,61,0
src/common/components/load-stops-list/VerticalStepper.vue,Sanja Mitrovic,0,156
src/common/components/load-stops-list/VerticalStepper.vue,Yashwanth Harikrishnan,159,3
src/common/components/load-stops-list/__tests__/RouteNotes.spec.ts,Murali Mariappan,1,1
src/common/components/load-stops-list/__tests__/RouteNotes.spec.ts,Sergei Zaliubovskii,1,1
src/common/components/load-stops-list/__tests__/RouteNotes.spec.ts,Sanja Mitrovic,58,0
src/common/components/load-stops-list/__tests__/RouteStep.spec.ts,Sanja Mitrovic,25,0
src/common/components/load-stops-list/__tests__/loadStopsList.spec.ts,Sanja Mitrovic,0,19
src/common/components/load-stops-list/__tests__/loadStopsList.spec.ts,Sergei Zaliubovskii,5,4
src/common/components/load-stops-list/__tests__/loadStopsList.spec.ts,Yashwanth Harikrishnan,19,0
src/common/components/load-stops-list/__tests__/verticalStepper.spec.ts,Sanja Mitrovic,0,27
src/common/components/load-stops-list/__tests__/verticalStepper.spec.ts,Sergei Zaliubovskii,1,1
src/common/components/load-stops-list/__tests__/verticalStepper.spec.ts,Yashwanth Harikrishnan,27,0
src/common/components/table-plankton/TableCell.vue,Sanja Mitrovic,66,66
src/common/components/table-plankton/TableRow.vue,Sanja Mitrovic,196,193
src/common/components/table-plankton/TableRow.vue,Sergei Zaliubovskii,5,8
src/common/components/table-plankton/__tests__/TableCell.spec.ts,Sanja Mitrovic,28,28
src/common/components/table-plankton/__tests__/TableRow.spec.ts,Sanja Mitrovic,155,155
src/common/components/table-plankton/__tests__/TableRow.spec.ts,Sergei Zaliubovskii,4,4
src/common/components/table/Table.vue,Sanja Mitrovic,53,2
src/common/components/table/TableCell.vue,Sanja Mitrovic,23,3
src/common/components/table/TableRow.vue,Sanja Mitrovic,58,2
src/common/components/table/TableTitles.vue,Sanja Mitrovic,32,0
src/common/components/table/__tests__/Table.spec.ts,Sergei Zaliubovskii,1,3
src/common/components/table/__tests__/Table.spec.ts,Sanja Mitrovic,61,0
src/common/components/table/__tests__/TableCell.spec.ts,Sanja Mitrovic,18,0
src/common/components/table/__tests__/TableRow.spec.ts,Sanja Mitrovic,18,0
src/common/components/table/__tests__/TableTitles.spec.ts,Yashwanth Harikrishnan,1,1
src/common/components/table/__tests__/TableTitles.spec.ts,Sanja Mitrovic,18,0
src/common/compositions/index.ts,Sanja Mitrovic,6,0
src/common/compositions/mocks/index.ts,Sanja Mitrovic,1,0
