entity,fractal-value,total-revs
src/orchestrated/sharedData.ts,0.85,16
src/modules/assignments/services/BffAssignmentService.ts,0.84,16
src/modules/assignments/services/__tests__/BffAssignmentService.spec.ts,0.84,15
package.json,0.82,75
src/common/config/config.ts,0.82,27
package-lock.json,0.81,63
webpack/webpack.common.js,0.81,20
sndt.json,0.81,12
src/orchestrated/languages.ts,0.81,9
src/bootstrap.ts,0.8,56
src/modules/marketplace/components/LoadLockedPromoBanner.vue,0.8,14
src/integrations/sentry.ts,0.8,13
src/modules/tender/components/tender-list/TendersTable.spec.ts,0.8,5
src/modules/marketplace/components/MarketplaceTabs.vue,0.79,23
src/modules/bids/app/bid-table-cell/actions/OrderListBidActions.vue,0.79,15
src/modules/bids/app/bidding-block/BiddingBlock.vue,0.79,14
src/orchestrated/tenants.ts,0.79,9
src/modules/assignments/classes/__tests__/OrderAssignmentsResponse.spec.ts,0.79,9
src/modules/assignments/components/Assignments.vue,0.78,24
src/modules/bids/app/bidding-block/bid-form/BidForm.vue,0.78,19
src/modules/assignments/services/AssignmentService.ts,0.78,15
src/modules/bids/app/bidding-block/bid-form/useBidForm.ts,0.78,12
src/modules/bids/composition/useBidActions.spec.ts,0.78,8
src/modules/assignments/components/__tests__/Assignments.spec.ts,0.78,8
src/modules/bids/app/bidding-block/bidding-statuses/useBiddingStatus.ts,0.78,7
src/modules/tender/components/tender-list/TenderList.spec.ts,0.78,6
src/modules/tender/components/tender-list/TenderTableRow.spec.ts,0.78,6
src/common/services/errors/GenericServiceErrors.ts,0.78,6
src/modules/bids/services/BiddingRegularOrderService.ts,0.77,16
src/modules/marketplace/components/__tests__/MarketplaceTabs.spec.ts,0.77,15
src/modules/bids/app/bidding-block/confirm-bid-dialog/ConfirmBidDialog.vue,0.77,9
jest.config.js,0.76,13
src/modules/tender/components/tender-details/tender-content/tender-bids/__tests__/TenderBidChange.spec.ts,0.76,11
src/modules/bids/app/bidding-block/cancel-bid-dialog/CancelBidDialog.vue,0.75,18
src/common/components/NonAccessPlaceholder.vue,0.75,16
src/modules/accept-now/app/AcceptNowSuccessDialog.vue,0.75,13
src/modules/bids/services/BiddingRegularOrderService.spec.ts,0.75,12
src/languages/en.json,0.75,8
src/modules/next-load-suggestions/composition/useNextLoadSuggestions.spec.ts,0.75,8
src/common/services/errors/__tests__/GenericServiceErrors.spec.ts,0.75,8
.env.uat,0.75,8
src/modules/bids/app/bidding-block/bidding-statuses/useBiddingStatus.spec.ts,0.75,8
src/modules/assignments/services/__tests__/AssignmentService.spec.ts,0.75,8
src/modules/assignments/classes/OrderAssignmentsResponse.ts,0.75,8
src/modules/orders/components/order-details/order-content/order-load-details/__tests__/OrderDetailsExpectedCost.spec.ts,0.75,4
src/modules/orders/components/order-details/order-next-suggestions/__tests__/NextLoadSuggestions.spec.ts,0.75,4
src/modules/accept-now/models/accept-now-dialog.ts,0.75,4
src/modules/tender/components/tender-list/TendersNoResults.spec.ts,0.75,4
src/modules/orders/components/order-details/order-content/OrderDetailsContent.vue,0.74,55
src/modules/orders/components/order-details/order-content/OrderDetailsContent.spec.ts,0.74,27
src/modules/assignments/types/serviceTypes.ts,0.74,12
src/orchestrated/logger.ts,0.74,11
src/modules/bids/app/bid-table-cell/status/OrderListBidStatus.vue,0.74,11
catalog-info.yaml,0.74,11
README.md,0.74,10
.gitignore,0.74,10
src/modules/orders/components/order-details/order-content/order-load-details/order-map/__tests__/OrderDetailsMap.spec.ts,0.74,10
src/modules/bids/app/bidding-block/bid-form/useBidForm.spec.ts,0.74,10
src/modules/assignments/services/CarrierAssignmentService.ts,0.74,9
src/modules/next-load-suggestions/composition/useNextLoadSuggestions.ts,0.74,9
src/modules/accept-now/app/AcceptNowConfirmDialog.vue,0.73,26
src/common/services/GenericService.ts,0.73,20
src/modules/orders/segmentEvents.ts,0.73,18
src/common/components/HereMap.vue,0.73,17
src/modules/bids/app/bid-details/OrderBid.vue,0.73,14
src/common/base/mixins/__tests__/refreshDialogMixin.spec.ts,0.73,14
src/modules/bids/composition/useAvailableBidActions.ts,0.73,7
src/common/components/__tests__/VehicleTypes.spec.ts,0.73,7
src/modules/bids-deprecated/app/bidding-block/useBiddingBlock.ts,0.73,7
src/modules/accept-now/models/mocks/accept-now-mock.ts,0.73,7
src/orchestrated/notifications.ts,0.73,7
.env.prod,0.72,21
.env.dev,0.72,21
webpack/webpack.prod.js,0.72,21
src/modules/accept-now/app/AcceptNowSuccessDialog.spec.ts,0.72,13
src/modules/tender/components/tender-list/TendersNoResults.vue,0.72,13
src/modules/bids/services/BiddingClient.ts,0.72,12
src/common/components/FuelSurcharge.vue,0.72,10
