author,rev,date,entity,message,loc-added,loc-deleted
InfraOps Bot - Renovate,99822e5e,2024-10-30,.nvmrc,-,1,1
Yashwanth Harikrishnan,4f27cecf,2024-10-29,src/common/compositions/useFeatureFlag.spec.ts,-,0,2
Yashwanth Harikrishnan,2e045fc3,2024-10-29,src/common/base/mocks.ts,-,0,1
Yashwanth Harikrishnan,2e045fc3,2024-10-29,src/common/types/interfaces.ts,-,0,1
Yashwanth Harikrishnan,2e045fc3,2024-10-29,src/modules/next-load-suggestions-deprecated/app/order-next-suggestions/NextLoadSuggestionRow.spec.ts,-,1,3
Yashwanth Harikrishnan,2e045fc3,2024-10-29,src/modules/orders/components/order-details/order-content/OrderDetailsContent.spec.ts,-,0,32
Yashwanth Harikrishnan,2e045fc3,2024-10-29,src/modules/orders/components/order-details/order-content/OrderDetailsContent.vue,-,0,6
Yashwanth Harikrishnan,2e045fc3,2024-10-29,src/modules/orders/components/order-details/order-content/order-load-details/OrderDetailsExpectedCost.vue,-,0,48
Yashwanth Harikrishnan,2e045fc3,2024-10-29,src/modules/orders/components/order-details/order-content/order-load-details/__tests__/OrderDetailsExpectedCost.spec.ts,-,0,41
Yashwanth Harikrishnan,2e045fc3,2024-10-29,src/modules/orders/mocks/marketplace.mocks.ts,-,0,1
Yashwanth Harikrishnan,2e045fc3,2024-10-29,src/modules/orders/mocks/orders.mock.ts,-,0,2
Yashwanth Harikrishnan,2e045fc3,2024-10-29,src/modules/orders/models/mocks/Order.ts,-,0,1
Yashwanth Harikrishnan,2e045fc3,2024-10-29,src/modules/orders/services/transformers/chartering-transformers.spec.ts,-,0,2
Yashwanth Harikrishnan,2e045fc3,2024-10-29,src/modules/orders/services/transformers/chartering-transformers.ts,-,0,2
Yashwanth Harikrishnan,2e045fc3,2024-10-29,src/modules/orders/services/transformers/common-transformers.ts,-,0,1
Yashwanth Harikrishnan,2e045fc3,2024-10-29,src/modules/orders/services/transformers/marketplace-transformers.spec.ts,-,0,1
InfraOps Bot - Renovate,a9c1a747,2024-10-29,Dockerfile.e2e,-,1,1
Artem Kovshov,08629e29,2024-10-29,src/styles/coral-fixed.css,-,153,157
Artem Kovshov,ed64d0fc,2024-10-17,src/App.vue,-,1,1
Artem Kovshov,ed64d0fc,2024-10-17,src/bootstrap.ts,-,1,3
Artem Kovshov,ed64d0fc,2024-10-17,src/styles/coral-fixed.css,-,20447,0
InfraOps Bot - Renovate,06f0c049,2024-10-28,package.json,-,77,77
InfraOps Bot - Renovate,acae8779,2024-10-28,package-lock.json,-,36,188
InfraOps Bot - Renovate,acae8779,2024-10-28,package.json,-,1,1
InfraOps Bot - Renovate,9c4b1231,2024-10-25,package.json,-,1,1
InfraOps Bot - Renovate,1c62338d,2024-10-24,package-lock.json,-,142,131
InfraOps Bot - Renovate,1c62338d,2024-10-24,package.json,-,1,1
InfraOps Bot - Renovate,f34dabea,2024-10-24,package-lock.json,-,386,375
InfraOps Bot - Renovate,2ac686dc,2024-10-24,package-lock.json,-,24,14
Sergej Herbert,b6d80363,2024-10-23,.gitlab-ci.yml,-,0,7
Sergej Herbert,b6d80363,2024-10-23,catalog-info.yaml,-,0,1
