entity,soc
src/modules/orders/mocks/marketplace.mocks.ts,2677
src/modules/orders/types/interfaces.ts,2571
src/modules/marketplace/components/orders/MarketplaceOrderRow.vue,2536
src/modules/marketplace/types/interfaces.ts,2415
src/modules/marketplace/store/actions.ts,2351
src/modules/orders/components/order-details/order-content/OrderDetailsContent.vue,2254
src/modules/orders/services/MarketplaceOrderService.ts,2165
src/modules/marketplace/components/orders/__tests__/MarketplaceOrderRow.spec.ts,2074
src/modules/orders/mocks/orders.mock.ts,2055
src/modules/filters/store/actions.ts,2030
src/store/index.ts,1902
src/modules/assignments/base/dependencies.ts,1886
src/common/types/interfaces.ts,1814
src/modules/bids/models/Bid.ts,1794
src/modules/orders/base/dependencies.ts,1783
src/modules/marketplace/components/orders/MarketplaceOrderList.vue,1764
src/setup-jest.ts,1743
src/modules/filters/components/filter-add/FilterAdd.vue,1701
src/common/base/helpers.ts,1672
src/store/types.ts,1669
src/common/config/config.ts,1636
src/modules/bids/models/mocks/Bid.ts,1599
src/modules/assignments/services/BffAssignmentService.ts,1591
src/bootstrap.ts,1588
src/modules/filters/components/filter-edit/SavedLaneEditDialog.vue,1577
src/modules/marketplace/store/mutations.ts,1569
src/App.vue,1562
src/modules/assignments/store/actions.ts,1561
src/modules/assignments/services/AssignmentService.ts,1559
src/modules/orders/components/order-details/OrderDetailsPage.vue,1555
src/modules/assignments/services/__tests__/BffAssignmentService.spec.ts,1541
src/modules/filters/components/filter-bar/Sorting.vue,1523
src/modules/marketplace/store/getters.ts,1512
src/modules/filters/components/filter-bar/MarketplaceListStatusBar.vue,1512
src/modules/filters/components/filter-details/SavedLane.vue,1508
src/modules/orders/mocks/transport-offers.mock.ts,1495
src/common/filter/Status.vue,1481
src/common/types/enums.ts,1450
src/modules/orders/components/order-details/__tests__/OrderDetailsPage.spec.ts,1432
src/modules/marketplace/types/enums.ts,1409
src/modules/filters/base/dependencies.ts,1407
src/modules/marketplace/store/index.ts,1400
src/modules/assignments/components/Assignments.vue,1358
src/common/types/constants.ts,1356
src/modules/filters/components/filter-details/SavedLaneDetails.vue,1349
src/modules/filters/components/common/RadiusFilter.vue,1345
src/modules/filters/components/filter-list/SavedLaneWithOrders.vue,1336
src/modules/tender/components/tender-details/TenderDetails.vue,1330
src/modules/marketplace/store/actions.spec.ts,1329
src/modules/filters/base/helpers.ts,1321
src/modules/orders/mocks/store.mock.ts,1317
src/routes.ts,1315
src/modules/accept-now/app/AcceptNowConfirmDialog.vue,1315
